DATE;VALUE
2019-09-17 23:53:00.000;0,68
2019-09-17 23:43:00.000;0,68
2019-09-17 23:33:00.000;0,68
2019-09-17 23:23:00.000;0,7
2019-09-17 23:13:00.000;0,73
2019-09-17 23:03:00.000;0,73
2019-09-17 22:53:00.000;0,74
2019-09-17 22:43:00.000;0,77
2019-09-17 22:33:00.000;0,76
2019-09-17 22:23:00.000;0,75
2019-09-17 22:13:00.000;0,66
2019-09-17 22:03:00.000;0,65
2019-09-17 21:53:00.000;0,65
2019-09-17 21:43:00.000;0,65
2019-09-17 21:33:00.000;0,65
2019-09-17 21:23:00.000;0,67
2019-09-17 21:13:00.000;0,67
2019-09-17 21:03:00.000;0,67
2019-09-17 20:53:00.000;0,67
2019-09-17 20:43:00.000;0,66
2019-09-17 20:33:00.000;0,66
2019-09-17 20:23:00.000;0,66
2019-09-17 20:12:00.000;0,67
2019-09-17 20:02:00.000;0,69
2019-09-17 19:52:00.000;0,63
2019-09-17 19:42:00.000;0,63
2019-09-17 19:32:00.000;0,64
2019-09-17 19:22:00.000;0,64
2019-09-17 19:12:00.000;0,64
2019-09-17 19:02:00.000;0,63
2019-09-17 18:52:00.000;0,63
2019-09-17 18:42:00.000;0,63
2019-09-17 18:41:00.000;0,63
2019-09-17 18:31:00.000;0,63
2019-09-17 18:21:00.000;0,64
2019-09-17 18:11:00.000;0,64
2019-09-17 18:01:00.000;0,63
2019-09-17 17:51:00.000;0,63
2019-09-17 17:41:00.000;0,64
2019-09-17 17:31:00.000;0,7
2019-09-17 17:21:00.000;0,71
2019-09-17 17:11:00.000;0,7
2019-09-17 17:01:00.000;0,69
2019-09-17 16:51:00.000;0,69
2019-09-17 16:41:00.000;0,68
2019-09-17 16:31:00.000;0,67
2019-09-17 16:21:00.000;0,67
2019-09-17 16:11:00.000;0,66
2019-09-17 16:01:00.000;0,66
2019-09-17 15:51:00.000;0,66
2019-09-17 15:41:00.000;0,65
2019-09-17 15:31:00.000;0,6
2019-09-17 15:21:00.000;0,6
2019-09-17 15:11:00.000;0,6
2019-09-17 15:01:00.000;0,6
2019-09-17 14:51:00.000;0,59
2019-09-17 14:41:00.000;0,59
2019-09-17 14:31:00.000;0,59
2019-09-17 14:21:00.000;0,59
2019-09-17 14:11:00.000;0,59
2019-09-17 14:01:00.000;0,58
2019-09-17 13:51:00.000;0,59
2019-09-17 13:41:00.000;0,59
2019-09-17 13:31:00.000;0,58
2019-09-17 13:21:00.000;0,59
2019-09-17 13:11:00.000;0,59
2019-09-17 13:01:00.000;0,59
2019-09-17 12:51:00.000;0,59
2019-09-17 12:41:00.000;0,59
2019-09-17 12:31:00.000;0,59
2019-09-17 12:21:00.000;0,59
2019-09-17 12:11:00.000;0,59
2019-09-17 12:01:00.000;0,59
2019-09-17 11:51:00.000;0,59
2019-09-17 11:41:00.000;0,59
2019-09-17 11:31:00.000;0,59
2019-09-17 11:21:00.000;0,59
2019-09-17 11:11:00.000;0,59
2019-09-17 11:01:00.000;0,59
2019-09-17 10:51:00.000;0,59
2019-09-17 10:41:00.000;0,59
2019-09-17 10:31:00.000;0,59
2019-09-17 10:21:00.000;0,6
2019-09-17 10:11:00.000;0,6
2019-09-17 10:01:00.000;0,6
2019-09-17 09:51:00.000;0,61
2019-09-17 09:41:00.000;0,61
2019-09-17 09:31:00.000;0,61
2019-09-17 09:21:00.000;0,61
2019-09-17 09:11:00.000;0,61
2019-09-17 09:01:00.000;0,61
2019-09-17 08:51:00.000;0,61
2019-09-17 08:41:00.000;0,61
2019-09-17 08:31:00.000;0,61
2019-09-17 08:21:00.000;0,61
2019-09-17 08:11:00.000;0,6
2019-09-17 08:00:00.000;0,6
2019-09-17 07:50:00.000;0,6
2019-09-17 07:40:00.000;0,6
2019-09-17 07:30:00.000;0,6
2019-09-17 07:20:00.000;0,6
2019-09-17 07:10:00.000;0,61
2019-09-17 07:00:00.000;0,61
2019-09-17 06:50:00.000;0,61
2019-09-17 06:40:00.000;0,61
2019-09-17 06:30:00.000;0,6
2019-09-17 06:20:00.000;0,6
2019-09-17 06:10:00.000;0,6
2019-09-17 06:00:00.000;0,6
2019-09-17 05:50:00.000;0,6
2019-09-17 05:40:00.000;0,6
2019-09-17 05:30:00.000;0,6
2019-09-17 05:20:00.000;0,6
2019-09-17 05:10:00.000;0,61
2019-09-17 05:00:00.000;0,6
2019-09-17 04:50:00.000;0,61
2019-09-17 04:40:00.000;0,6
2019-09-17 04:30:00.000;0,6
2019-09-17 04:20:00.000;0,6
2019-09-17 04:10:00.000;0,6
2019-09-17 04:00:00.000;0,6
2019-09-17 03:50:00.000;0,59
2019-09-17 03:40:00.000;0,59
2019-09-17 03:30:00.000;0,59
2019-09-17 03:20:00.000;0,59
2019-09-17 03:10:00.000;0,61
2019-09-17 03:00:00.000;0,61
2019-09-17 02:51:00.000;0,61
2019-09-17 02:41:00.000;0,62
2019-09-17 02:31:00.000;0,62
2019-09-17 02:21:00.000;0,62
2019-09-17 02:11:00.000;0,62
2019-09-17 02:01:00.000;0,62
2019-09-17 01:51:00.000;0,63
2019-09-17 01:41:00.000;0,63
2019-09-17 01:31:00.000;0,63
2019-09-17 01:21:00.000;0,63
2019-09-17 01:11:00.000;0,66
2019-09-17 01:01:00.000;0,67
2019-09-17 00:51:00.000;0,67
2019-09-17 00:41:00.000;0,66
2019-09-17 00:31:00.000;0,66
2019-09-17 00:21:00.000;0,68
2019-09-17 00:11:00.000;0,68
2019-09-17 00:01:00.000;0,68
2019-09-16 23:51:00.000;0,68
2019-09-16 23:41:00.000;0,67
2019-09-16 23:31:00.000;0,67
2019-09-16 23:21:00.000;0,66
2019-09-16 23:11:00.000;0,67
2019-09-16 23:01:00.000;0,68
2019-09-16 22:51:00.000;0,68
2019-09-16 22:41:00.000;0,67
2019-09-16 22:31:00.000;0,61
2019-09-16 22:21:00.000;0,61
2019-09-16 22:11:00.000;0,61
2019-09-16 21:51:00.000;0,6
2019-09-16 21:41:00.000;0,61
2019-09-16 21:31:00.000;0,61
2019-09-16 21:21:00.000;0,61
2019-09-16 21:11:00.000;0,61
2019-09-16 21:01:00.000;0,61
2019-09-16 20:51:00.000;0,61
2019-09-16 20:41:00.000;0,61
2019-09-16 20:31:00.000;0,61
2019-09-16 20:21:00.000;0,61
2019-09-16 20:10:00.000;0,61
2019-09-16 20:00:00.000;0,61
2019-09-16 19:50:00.000;0,61
2019-09-16 19:40:00.000;0,61
2019-09-16 19:30:00.000;0,61
2019-09-16 19:20:00.000;0,61
2019-09-16 19:10:00.000;0,61
2019-09-16 19:00:00.000;0,61
2019-09-16 18:50:00.000;0,61
2019-09-16 18:40:00.000;0,61
2019-09-16 18:29:00.000;0,61
2019-09-16 18:19:00.000;0,61
2019-09-16 18:08:00.000;0,61
2019-09-16 17:58:00.000;0,61
2019-09-16 17:48:00.000;0,61
2019-09-16 17:38:00.000;0,61
2019-09-16 17:28:00.000;0,61
2019-09-16 17:18:00.000;0,61
2019-09-16 17:08:00.000;0,61
2019-09-16 16:58:00.000;0,61
2019-09-16 16:48:00.000;0,61
2019-09-16 16:38:00.000;0,61
2019-09-16 16:28:00.000;0,61
2019-09-16 16:18:00.000;0,61
2019-09-16 16:08:00.000;0,61
2019-09-16 15:58:00.000;0,6
2019-09-16 15:48:00.000;0,6
2019-09-16 15:38:00.000;0,6
2019-09-16 15:28:00.000;0,6
2019-09-16 15:18:00.000;0,59
2019-09-16 15:08:00.000;0,59
2019-09-16 14:58:00.000;0,59
2019-09-16 14:48:00.000;0,59
2019-09-16 14:38:00.000;0,58
